graph	vertices    edges   explored_vertices   executed_time   results   allocs      allocated_memory
3v.in	3			3		5                   0.008           2         32          6766
4v.in 	4			6		1                   0.009           6         58          8948
5v.in	5			10		6                   0.009           24        126         17478
6v.in	6			15		36                  0.009           120       410         64204
7v.in	7			21		197                 0.010           720       2068        392246
8v.in	8			28		13700               0.023           5040      13842       3091836
9v.in	9			36		109601              0.132           40320     109778      28090078
10v.in	10			45		986410              1.219           362880    986626      284130788
11v.in  11          55      9864101             14.063          3628800   9864360     3156573535
12v.in  12          66      108505112           187.340         39916800  108505418   38193881957
13v.in  13          77      1104779323          2018.744        0         0           0
